date,season,game_pk,pitcher_id,pitcher_name,team,opponent,home_away,line,bet_side,odds,model_prob,implied_prob,edge,predicted_mean,simulated_mean,simulated_median,simulated_std,recommended_units,kelly_units,actual_strikeouts,bet_result,profit_units,settled
2026-04-01,2026,823483,676917,Cade Cavalli,WSH,PHI,1,4.5,over,-102.0,0.668,0.505,0.163,5.697,5.844,6,2.729,2.0,0.82,3.0,loss,-1.0,True
2026-04-01,2026,824536,671096,Andrew Abbott,CIN,PIT,0,5.5,under,-112.0,0.677,0.5283,0.1487,4.469,4.512,4,2.4,1.5,0.79,5.0,win,0.8929,True
2026-04-01,2026,823157,693645,Cam Schlittler,NYY,SEA,1,5.5,over,-144.0,0.735,0.5902,0.1448,7.561,7.597,7,3.068,1.5,0.88,7.0,win,0.6944,True
2026-04-01,2026,824536,694973,Paul Skenes,PIT,CIN,1,7.5,under,-132.0,0.696,0.569,0.127,6.191,6.15,6,2.908,1.5,0.74,5.0,win,0.7576,True
2026-04-01,2026,823806,694819,Jacob Misiorowski,MIL,TB,0,6.5,over,100.0,0.624,0.5,0.124,7.784,7.775,7,3.009,1.5,0.62,7.0,win,1.0,True
2026-04-01,2026,824860,543135,Nathan Eovaldi,TEX,BAL,1,5.5,over,-168.0,0.743,0.6269,0.1161,7.699,7.762,8,3.155,1.5,0.78,5.0,loss,-1.0,True
2026-04-01,2026,823321,601713,Nick Pivetta,SD,SF,0,5.5,under,128.0,0.55,0.4386,0.1114,5.551,5.422,5,2.651,1.5,0.5,8.0,loss,-1.0,True
2026-04-01,2026,824211,681347,Mike Burrows,HOU,BOS,0,5.5,under,-114.0,0.636,0.5327,0.1033,4.943,4.84,5,2.451,1.5,0.55,6.0,loss,-1.0,True
2026-04-01,2026,823157,669923,George Kirby,SEA,NYY,0,7.5,under,-178.0,0.726,0.6403,0.0857,5.8,5.874,6,2.793,1.0,0.6,6.0,win,0.5618,True
2026-04-01,2026,823889,681343,Shane Smith,CWS,MIA,1,4.5,over,100.0,0.576,0.5,0.076,5.393,5.26,5,2.558,1.0,0.38,1.0,loss,-1.0,True
2026-04-01,2026,822835,607536,Kyle Freeland,COL,TOR,1,3.5,over,100.0,0.57,0.5,0.07,4.038,4.093,4,2.211,0.5,0.35,6.0,win,1.0,True
2026-04-01,2026,823078,669461,Matthew Liberatore,STL,NYM,0,3.5,under,118.0,0.525,0.4587,0.0663,3.583,3.564,3,2.051,0.5,0.31,2.0,win,1.18,True
2026-04-01,2026,822835,592332,Kevin Gausman,TOR,COL,0,7.5,over,116.0,0.529,0.463,0.066,7.914,8.014,8,3.267,0.5,0.31,10.0,win,1.16,True
2026-04-01,2026,824698,579328,Yusei Kikuchi,LAA,CHC,1,4.5,under,102.0,0.556,0.495,0.061,4.364,4.441,4,2.345,0.5,0.3,5.0,loss,-1.0,True
2026-04-01,2026,823078,642547,Freddy Peralta,NYM,STL,1,6.5,over,116.0,0.515,0.463,0.052,6.789,6.93,7,2.989,0.5,0.24,7.0,win,1.16,True
2026-04-02,2026,824133,666142,Cole Ragans,KC,MIN,0,7.5,under,-152.0,0.738,0.6032,0.1348,5.951,5.879,6,2.728,1.5,0.85,8.0,loss,-1.0,True
2026-04-02,2026,824133,671737,Taj Bradley,MIN,KC,1,4.5,over,118.0,0.573,0.4587,0.1143,5.159,5.12,5,2.499,1.5,0.53,3.0,loss,-1.0,True
2026-04-03,2026,822758,686218,Emmet Sheehan,LAD,WSH,1,5.5,over,-128.0,0.68,0.5614,0.1186,6.988,7.039,7,3.013,1.5,0.68,2.0,loss,-1.0,True
2026-04-03,2026,824458,690990,Cade Horton,CHC,CLE,1,3.5,over,-136.0,0.676,0.5763,0.0997,4.806,4.81,5,2.447,1.0,0.59,0.0,loss,-1.0,True
2026-04-03,2026,824134,694477,Chad Patrick,MIL,KC,1,3.5,over,-138.0,0.672,0.5798,0.0922,4.705,4.692,5,2.363,1.0,0.55,,,,False
2026-04-03,2026,824786,650633,Michael King,SD,BOS,1,5.5,under,102.0,0.584,0.495,0.089,5.081,5.26,5,2.592,1.0,0.44,5.0,win,1.02,True
2026-04-03,2026,823406,680694,Kyle Bradish,BAL,PIT,1,5.5,over,-146.0,0.659,0.5935,0.0655,6.943,6.969,7,3.061,0.5,0.4,6.0,win,0.6849,True
2026-04-03,2026,824299,664285,Framber Valdez,DET,STL,0,5.5,under,-112.0,0.591,0.5283,0.0627,5.166,5.244,5,2.649,0.5,0.33,5.0,win,0.8929,True
2026-04-03,2026,823406,656605,Mitch Keller,PIT,BAL,0,4.5,under,122.0,0.505,0.4505,0.0545,4.723,4.714,4,2.36,0.5,0.25,4.0,win,1.22,True
2026-04-04,2026,824295,656427,Jack Flaherty,DET,STL,0,5.5,under,116.0,0.653,0.463,0.19,4.756,4.738,4,2.314,2.0,0.88,6.0,loss,-1.0,True
2026-04-04,2026,823730,571927,Steven Matz,TB,MIN,1,4.5,over,116.0,0.651,0.463,0.188,5.743,5.856,6,2.801,2.0,0.88,8.0,win,1.16,True
2026-04-04,2026,823569,677960,Ryan Weathers,NYY,MIA,0,5.5,under,-125.0,0.741,0.5556,0.1854,4.217,4.25,4,2.31,2.0,1.04,4.0,win,0.8,True
2026-04-04,2026,825104,693821,Bryce Elder,ATL,AZ,1,3.5,over,-132.0,0.753,0.569,0.184,5.551,5.398,5,2.581,2.0,1.07,8.0,win,0.7576,True
2026-04-04,2026,823404,669387,Carmen Mlodzinski,PIT,BAL,0,4.5,under,-108.0,0.666,0.5192,0.1468,3.828,3.845,4,2.124,1.5,0.76,5.0,loss,-1.0,True
2026-04-04,2026,824782,681190,Randy Vásquez,SD,BOS,1,3.5,over,-130.0,0.678,0.5652,0.1128,4.813,4.901,5,2.574,1.5,0.65,3.0,loss,-1.0,True
2026-04-04,2026,824132,694477,Chad Patrick,MIL,KC,1,3.5,over,-154.0,0.678,0.6063,0.0717,4.705,4.771,5,2.387,0.5,0.46,3.0,loss,-1.0,True
2026-04-05,2026,823729,607259,Nick Martinez,TB,MIN,1,4.5,over,120.0,0.575,0.4545,0.1205,5.165,5.247,5,2.582,1.5,0.55,4.0,loss,-1.0,True
2026-04-05,2026,824620,641778,Eric Lauer,TOR,CWS,1,4.5,over,100.0,0.588,0.5,0.088,5.457,5.37,5,2.64,1.0,0.44,0.0,loss,-1.0,True
2026-04-05,2026,824379,592836,Taijuan Walker,PHI,COL,1,3.5,over,-106.0,0.6,0.5146,0.0854,4.331,4.251,4,2.289,1.0,0.44,4.0,win,0.9434,True
2026-04-05,2026,824053,622491,Luis Castillo,SEA,LAA,1,5.5,under,128.0,0.518,0.4386,0.0794,5.702,5.601,5,2.776,1.0,0.35,4.0,win,1.28,True
2026-04-05,2026,822917,683004,Jack Leiter,TEX,CIN,0,6.5,under,-146.0,0.659,0.5935,0.0655,5.601,5.614,5,2.683,0.5,0.4,9.0,loss,-1.0,True
2026-04-05,2026,824296,672456,Keider Montero,DET,STL,0,3.5,over,108.0,0.546,0.4808,0.0652,3.968,3.979,4,2.185,0.5,0.31,3.0,loss,-1.0,True
2026-04-05,2026,823729,680573,Simeon Woods Richardson,MIN,TB,0,4.5,over,106.0,0.547,0.4854,0.0616,5.027,5.117,5,2.592,0.5,0.3,4.0,loss,-1.0,True
