metric,value
total_bets,354.0
wins,174.0
losses,180.0
pushes,0.0
win_rate,0.4915254237288136
flat_profit,-17.299599999999998
flat_roi,-0.04886892655367231
recommended_profit,-19.553549999999994
recommended_roi,-0.0493153846153846
kelly_profit,-5.8167089999999995
kelly_roi,-0.02706201265469433
