prob_bucket,bets,wins,win_rate
50-55%,48,25,0.5208333333333334
55-60%,73,29,0.3972602739726027
60-65%,71,36,0.5070422535211268
65-70%,73,37,0.5068493150684932
70-75%,36,22,0.6111111111111112
75-80%,12,8,0.6666666666666666
