bet_side,bets,wins,losses,pushes,flat_profit,rec_profit,kelly_profit,flat_risk,rec_risk,kelly_risk,win_rate,flat_roi,rec_roi,kelly_roi
over,55,24,31,0,-8.0055,-9.759350000000001,-5.089701000000001,55.0,59.5,29.6,0.43636363636363634,-0.14555454545454544,-0.16402268907563028,-0.17194935810810813
under,51,29,22,0,6.4703,7.143600000000001,3.4667410000000003,51.0,61.0,29.12,0.5686274509803921,0.1268686274509804,0.1171081967213115,0.11905017170329671
