line,bets,wins,losses,pushes,flat_profit,rec_profit,kelly_profit,flat_risk,rec_risk,kelly_risk,win_rate,flat_roi,rec_roi,kelly_roi
3.5,107,55,52,0,1.1896000000000009,5.742400000000001,2.962807,107.0,113.5,69.59,0.514018691588785,0.011117757009345803,0.05059383259911895,0.042575183215979306
4.5,148,61,87,0,-23.5124,-26.4178,-15.469759,148.0,146.5,84.69,0.41216216216216217,-0.15886756756756756,-0.18032627986348124,-0.1826633486834337
5.5,134,67,67,0,-4.080499999999998,-7.3329499999999985,-3.0748589999999996,134.0,143.5,84.06,0.5,-0.03045149253731342,-0.051100696864111485,-0.036579336188436826
6.5,85,43,42,0,-3.4320999999999993,-6.568399999999999,-0.07102599999999992,85.0,96.5,58.25,0.5058823529411764,-0.04037764705882352,-0.0680663212435233,-0.001219330472103003
7.5,27,18,9,0,5.868600000000001,6.933300000000001,4.420197,27.0,36.0,20.76,0.6666666666666666,0.21735555555555558,0.1925916666666667,0.21291893063583814
8.5,6,5,1,0,3.5952,2.1826000000000003,1.976574,6.0,5.5,4.27,0.8333333333333334,0.5992000000000001,0.3968363636363637,0.46289789227166284
