edge_bucket,bets,wins,losses,pushes,avg_edge,flat_profit,rec_profit,kelly_profit,flat_risk,rec_risk,kelly_risk,win_rate,flat_roi,rec_roi,kelly_roi
0-5%,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5-7.5%,81,42,39,0,0.06321604938271605,0.4931000000000001,0.74655,-0.28152900000000064,81.0,41.0,27.09,0.5185185185185185,0.006087654320987655,0.018208536585365854,-0.010392358803986734
7.5-10%,61,24,37,0,0.08815081967213115,-13.5219,-14.0121,-6.354686,61.0,60.5,27.97,0.39344262295081966,-0.2216704918032787,-0.23160495867768596,-0.22719649624597785
10-15%,190,99,91,0,0.11964,1.5087000000000017,-0.12054999999999971,2.5360709999999997,190.0,186.0,118.22,0.5210526315789473,0.007940526315789483,-0.0006481182795698909,0.021452131619015394
15%+,104,46,58,0,0.18545288461538462,-13.2853,-21.62895,-10.549797,104.0,187.5,98.62,0.4423076923076923,-0.12774326923076923,-0.1153544,-0.10697421415534374
